Date,Value,Classification
2024-01-01,35,Fear
2024-01-02,13,Fear
2024-01-03,31,Fear
2024-01-04,84,Greed
2024-01-05,68,Greed
2024-01-06,84,Greed
2024-01-07,90,Greed
2024-01-08,37,Fear
2024-01-09,35,Fear
2024-01-10,30,Fear
2024-01-11,15,Fear
2024-01-12,36,Fear
2024-01-13,19,Fear
2024-01-14,26,Fear
2024-01-15,17,Fear
2024-01-16,17,Fear
2024-01-17,61,Greed
2024-01-18,93,Greed
2024-01-19,60,Greed
2024-01-20,58,Greed
2024-01-21,92,Greed
2024-01-22,77,Greed
2024-01-23,72,Greed
2024-01-24,84,Greed
2024-01-25,70,Greed
2024-01-26,60,Greed
2024-01-27,34,Fear
2024-01-28,12,Fear
2024-01-29,27,Fear
2024-01-30,42,Fear
2024-01-31,42,Fear
2024-02-01,19,Fear
2024-02-02,36,Fear
2024-02-03,29,Fear
2024-02-04,24,Fear
2024-02-05,60,Greed
2024-02-06,70,Greed
2024-02-07,81,Greed
2024-02-08,94,Greed
2024-02-09,55,Greed
2024-02-10,83,Greed
2024-02-11,88,Greed
2024-02-12,93,Greed
2024-02-13,71,Greed
2024-02-14,59,Greed
2024-02-15,65,Greed
2024-02-16,89,Greed
2024-02-17,90,Greed
2024-02-18,30,Fear
2024-02-19,9,Fear
2024-02-20,59,Greed
2024-02-21,74,Greed
2024-02-22,78,Greed
2024-02-23,56,Greed
2024-02-24,82,Greed
2024-02-25,76,Greed
2024-02-26,55,Greed
2024-02-27,8,Fear
2024-02-28,73,Greed
2024-02-29,83,Greed
2024-03-01,88,Greed
2024-03-02,72,Greed
2024-03-03,66,Greed
2024-03-04,93,Greed
2024-03-05,73,Greed
2024-03-06,67,Greed
2024-03-07,72,Greed
2024-03-08,5,Fear
2024-03-09,17,Fear
2024-03-10,25,Fear
2024-03-11,41,Fear
2024-03-12,34,Fear
2024-03-13,36,Fear
2024-03-14,76,Greed
2024-03-15,59,Greed
2024-03-16,70,Greed
2024-03-17,94,Greed
2024-03-18,56,Greed
2024-03-19,90,Greed
2024-03-20,82,Greed
2024-03-21,66,Greed
2024-03-22,86,Greed
2024-03-23,88,Greed
2024-03-24,6,Fear
2024-03-25,59,Greed
2024-03-26,81,Greed
2024-03-27,94,Greed
2024-03-28,55,Greed
2024-03-29,81,Greed
2024-03-30,60,Greed
