account,symbol,execution_price,size,side,time,start_position,event,closedPnl,leverage
0xc814ce06,BTC,42520.0431,3.176,Sell,2024-01-01 01:28:47,-17.9224,fill,-38.55,25
0x181c01b5,MATIC,0.8777,9.9255,Sell,2024-01-01 11:50:23,-24.9953,fill,-16.66,20
0xf9c262ed,MATIC,0.906,7.3175,Buy,2024-01-01 06:46:33,10.6028,fill,-135.9,5
0x2ebb92af,BTC,43883.6261,0.6865,Sell,2024-01-01 03:33:33,-40.9039,fill,-1.63,20
0xa1b4c210,DOGE,0.0792,4.1114,Sell,2024-01-01 19:03:51,-23.16,fill,-63.04,10
0xb7ac9740,ARB,1.1846,3.5684,Sell,2024-01-01 15:20:01,-13.7119,fill,-37.89,25
0x46d9b92c,LINK,14.2045,9.2094,Buy,2024-01-01 03:22:14,18.5465,fill,24.44,20
0xc93b82a3,MATIC,0.8609,8.3566,Buy,2024-01-01 08:45:58,14.0657,fill,-65.03,50
0xc2da0d2f,LINK,13.6079,3.4435,Buy,2024-01-01 17:18:48,11.0879,fill,-73.25,5
0x8ba13e23,ARB,1.2026,5.3098,Sell,2024-01-01 20:37:05,-24.0293,fill,-33.95,20
0xa1b4c210,BTC,43712.5763,29.9428,Buy,2024-01-01 07:55:59,5.0699,fill,-311.33,5
0x718397ca,MATIC,0.894,7.5349,Sell,2024-01-01 14:40:29,-30.399,fill,120.31,20
0x339381eb,AVAX,32.7614,3.1421,Buy,2024-01-01 08:49:00,17.1391,fill,-16.99,10
0x11633489,DOGE,0.076,7.2438,Sell,2024-01-01 13:19:06,-12.1911,fill,-19.54,10
0xad8c19b0,SOL,92.2494,1.9303,Sell,2024-01-01 04:57:38,-17.1734,fill,-25.15,10
0xb7ac9740,APT,9.3134,1.1884,Buy,2024-01-01 06:05:44,23.5704,funding,0.86,5
0xf9c262ed,OP,3.2274,3.1589,Buy,2024-01-01 17:44:22,5.9034,fill,0.91,25
0xc2da0d2f,APT,9.9705,3.2658,Sell,2024-01-01 05:16:18,-38.2188,fill,-49.22,10
0x8362d113,APT,9.4985,28.0028,Buy,2024-01-01 23:07:17,8.6432,fill,68.31,5
0xa4d45831,LINK,13.6312,1.053,Sell,2024-01-01 13:58:18,-54.7489,fill,-9.31,25
0xa4d45831,MATIC,0.9361,3.9539,Buy,2024-01-01 20:06:43,25.2349,fill,-8.83,50
0xb286b60e,BTC,44364.8242,0.8933,Sell,2024-01-01 23:39:06,-9.6883,fill,-0.75,25
0xbc5a4471,LINK,13.0981,2.7401,Sell,2024-01-01 02:39:57,-4.6318,fill,19.83,20
0x5ac236be,AVAX,33.6482,168.9167,Sell,2024-01-01 05:21:08,-113.1481,fill,-1297.7,25
0xf87faa6d,APT,9.6239,0.9935,Buy,2024-01-02 04:10:49,32.1862,fill,-6.62,10
0xa791ffc1,AVAX,35.1632,5.1729,Buy,2024-01-02 16:29:10,334.9844,fill,-4.32,20
0xf9c262ed,SOL,99.4841,1.3613,Sell,2024-01-02 09:55:41,-50.7767,fill,-1.87,5
0x6eda1624,OP,3.0934,5.5085,Sell,2024-01-02 21:49:32,-23.3959,fill,-27.73,25
0xad8c19b0,OP,2.9536,7.3781,Sell,2024-01-02 03:25:36,-4.3325,fill,-159.13,20
0xf9c262ed,AVAX,34.655,3.4625,Sell,2024-01-02 08:51:28,-65.1969,funding,2.91,25
0xed407866,AVAX,36.8311,3.6235,Sell,2024-01-02 04:44:02,-43.9191,fill,-39.77,25
0x86c7538c,AVAX,35.0739,45.9751,Sell,2024-01-02 20:43:08,-6.2214,fill,-906.65,5
0x339381eb,OP,3.3451,1.5324,Sell,2024-01-02 01:05:31,-10.4613,fill,-24.77,25
0x7351513a,ETH,2342.0045,5.6393,Sell,2024-01-02 13:14:35,-11.1217,fill,68.59,20
0xb355791f,ETH,2190.87,14.2852,Buy,2024-01-02 17:20:44,25.3912,fill,59.11,25
0x11633489,MATIC,0.8767,8.194,Buy,2024-01-02 06:44:22,88.3632,funding,-5.29,10
0x339381eb,AVAX,34.1366,5.2437,Sell,2024-01-02 20:57:25,-205.9541,funding,4.28,20
0xdbcd12c2,OP,3.0077,5.8872,Sell,2024-01-02 15:25:17,-4.05,fill,-117.88,25
0xc93b82a3,ARB,1.2158,0.9493,Sell,2024-01-02 16:17:46,-40.5264,funding,0.27,25
0xc21209c3,MATIC,0.8821,6.8099,Sell,2024-01-02 23:27:08,-24.4536,fill,-75.23,5
0x2a4c73f5,ETH,2272.8319,4.4919,Sell,2024-01-02 23:48:57,-1.9472,fill,-107.49,5
0xf9c262ed,SOL,97.1359,19.1133,Sell,2024-01-02 01:06:07,-18.209,fill,-89.67,25
0x6704a0b6,LINK,14.0387,0.8752,Sell,2024-01-02 02:42:31,-5.0421,fill,-6.63,10
0xc744240f,AVAX,33.9074,0.5748,Buy,2024-01-02 01:46:11,6.8912,fill,-5.78,50
0x718397ca,ARB,1.2154,7.9855,Sell,2024-01-02 10:34:32,-14.4185,funding,-1.71,20
0xe34cbfaf,ARB,1.2138,53.7606,Sell,2024-01-02 22:56:16,-58.9235,fill,-177.74,20
0x7351513a,ARB,1.212,1.9027,Sell,2024-01-02 14:19:55,-14.9814,fill,-47.05,20
0xc621fbcd,ARB,1.2398,3.1735,Sell,2024-01-02 11:36:18,-14.3069,fill,-6.81,20
0x20cc0e16,AVAX,33.801,6.76,Sell,2024-01-02 03:55:51,-16.9386,fill,-20.85,10
0xa4d45831,SOL,96.2264,10.7866,Sell,2024-01-02 19:49:03,-15.0858,fill,73.92,20
0x8ba13e23,DOGE,0.0793,3.4577,Buy,2024-01-02 09:22:42,9.7818,fill,-65.53,25
0xb286b60e,AVAX,37.5414,9.0378,Sell,2024-01-03 23:55:38,-18.4285,fill,-63.02,10
0x8df944c3,SOL,95.9822,15.191,Buy,2024-01-03 04:50:48,16.5876,funding,-4.85,10
0xc744240f,AVAX,34.5353,7.0512,Buy,2024-01-03 10:18:10,12.8255,fill,-53.71,25
0xe4a395f7,BTC,40027.1436,20.5056,Buy,2024-01-03 06:14:50,25.7302,fill,-243.31,20
0xb355791f,AVAX,34.734,1.542,Sell,2024-01-03 15:55:50,-35.0415,fill,4.05,5
0x6704a0b6,LINK,14.8547,2.094,Sell,2024-01-03 13:29:50,-8.2582,fill,-34.44,50
0x6704a0b6,BTC,42421.2119,15.2343,Sell,2024-01-03 09:36:55,-34.7586,fill,-85.26,10
0x5eec9e8b,DOGE,0.0765,1.7571,Buy,2024-01-03 19:37:52,15.6033,fill,-32.59,10
0xed407866,MATIC,0.8349,1.4287,Sell,2024-01-03 21:48:26,-8.6932,fill,22.82,25
0xad8c19b0,MATIC,0.9435,46.0111,Sell,2024-01-03 00:07:17,-13.1496,fill,-379.09,10
0xa791ffc1,APT,9.7316,9.6005,Sell,2024-01-03 11:13:33,-10.6269,fill,83.95,50
0xc2da0d2f,APT,9.7174,9.8647,Buy,2024-01-03 18:42:39,8.9657,fill,-16.25,10
0x46d9b92c,LINK,14.2998,29.5103,Buy,2024-01-03 17:57:30,10.8085,fill,-108.57,10
0x6704a0b6,BTC,41327.85,1.4838,Sell,2024-01-03 18:51:54,-2.8955,fill,17.97,25
0xb7ac9740,ARB,1.1897,10.3688,Sell,2024-01-03 09:25:48,-156.4419,fill,-196.43,10
0x3a2c511e,SOL,94.0386,0.6482,Buy,2024-01-03 05:29:20,106.4726,fill,-5.12,20
0x1600888d,BTC,42739.9466,6.3994,Buy,2024-01-03 01:53:57,19.7359,fill,-46.32,20
0xa4d45831,AVAX,34.6405,0.7442,Sell,2024-01-03 23:44:12,-26.3738,liquidation,-24.93,10
0x718397ca,BTC,40340.7939,90.2377,Buy,2024-01-03 07:35:47,45.4574,fill,-11.1,10
0x5ac236be,ARB,1.2451,2.8358,Sell,2024-01-03 04:33:19,-12.6944,fill,-24.93,25
0xdbcd12c2,DOGE,0.0808,0.3469,Sell,2024-01-03 22:03:14,-7.6627,fill,-4.1,5
0xc744240f,ARB,1.1928,1.5013,Buy,2024-01-03 21:41:26,35.1122,fill,9.75,5
0x86c7538c,ETH,2348.4148,9.8681,Sell,2024-01-04 00:24:25,-14.1406,fill,-124.68,2
0xed407866,OP,3.1908,2.7274,Buy,2024-01-04 17:19:14,6.4227,fill,48.03,3
0x7218933c,ARB,1.2161,10.0979,Buy,2024-01-04 11:55:11,45.0156,liquidation,-69.21,2
0xb286b60e,ETH,2144.9385,4.3902,Buy,2024-01-04 06:51:31,33.6596,fill,17.52,5
0x7351513a,OP,3.1143,4.4147,Buy,2024-01-04 18:04:21,7.9977,fill,92.05,20
0xb286b60e,DOGE,0.0815,22.9972,Buy,2024-01-04 20:01:44,21.8373,fill,215.46,3
0x20cc0e16,LINK,13.4625,47.4284,Sell,2024-01-04 03:14:07,-24.6013,liquidation,-414.03,5
0x8df944c3,MATIC,0.9107,11.5745,Buy,2024-01-04 13:35:23,25.7591,fill,242.78,20
0x1600888d,BTC,41744.3284,5.7771,Buy,2024-01-04 21:20:39,3.3645,fill,46.87,3
0x181c01b5,BTC,43254.5837,12.6659,Buy,2024-01-04 12:23:45,72.772,fill,-99.26,10
0x8df944c3,LINK,13.9445,15.1383,Sell,2024-01-04 13:21:31,-12.1344,fill,-42.07,3
0x7218933c,BTC,42392.4306,16.0098,Buy,2024-01-04 16:11:55,27.6103,funding,-2.41,5
0xb355791f,SOL,88.9675,12.565,Sell,2024-01-04 05:39:43,-29.8425,fill,190.26,10
0xe4a395f7,AVAX,33.8158,4.9811,Sell,2024-01-04 10:44:27,-134.971,fill,86.05,10
0xc621fbcd,APT,9.9998,17.5574,Sell,2024-01-04 09:23:24,-52.9315,fill,202.14,3
